JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2448311.69,<13.0,,,Vis.,SPK,,,,,,,,V,,,,GW LIB,AFOEV,STD,,,,
2448327.66,<13.2,,,Vis.,SPK,,,,,,,,V,,,,GW LIB,AFOEV,STD,,,,
2448328.64,<12.7,,,Vis.,SPK,,,,,,,,V,,,,GW LIB,AFOEV,STD,,,,
2448329.61,<13.1,,,Vis.,SPK,,,,,,,,V,,,,GW LIB,AFOEV,STD,,,,
2448332.61,<12.3,,,Vis.,SPK,,,,,,,,V,,,,GW LIB,AFOEV,STD,,,,
2448338.67,<11.8,,,Vis.,SPK,,,,,,,,V,,,,GW LIB,AFOEV,STD,,,,
2448343.57,<12.6,,,Vis.,SPK,,,,,,,,V,,,,GW LIB,AFOEV,STD,,,,
2448345.63,<11.0,,,Vis.,SPK,,,,,,,,V,,,,GW LIB,AFOEV,STD,,,,
2449190.24,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449207.91,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449209.88,<13.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449212.4,<8.0,,,Vis.,HTT,,,,,,,,V,,,,GW LIB,,STD,,,,
2449538.86,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449539.88,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449541.91,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449544.88,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449545.81,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449546.83,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449547.92,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449548.81,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449553.84,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449557.2,<13.0,,,Vis.,OB,,,,,,,,V,,,,GW LIB,,STD,,,,
2449558.2,<13.0,,,Vis.,OB,,,,,,,,V,,,,GW LIB,,STD,,,,
2449559.8,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449560.2,<13.0,,,Vis.,OB,,,,,,,,V,,,,GW LIB,,STD,,,,
2449561.2,<13.0,,,Vis.,OB,,,,,,,,V,,,,GW LIB,,STD,,,,
2449562.2,<13.0,,,Vis.,OB,,,,,,,,V,,,,GW LIB,,STD,,,,
2449563.2,<13.0,,,Vis.,OB,,,,,,,,V,,,,GW LIB,,STD,,,,
2449568.87,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449570.94,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449571.91,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449572.93,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449573.85,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449574.9,<12.33,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449575.87,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449576.8,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449577.92,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449580.88,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449583.88,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449584.84,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449589.89,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449590.82,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449591.83,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449592.89,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449594.82,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449595.84,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449598.81,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449599.86,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449600.82,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449602.86,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449604.82,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449622.83,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449627.83,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449635.84,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
