JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2454200.9701	<15.7			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454201.62708	<12.0			Vis.	SPK		12.022		F 03/01		0		V				GW LIB	AFOEV	STD				
2454202.009	<15.7			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454202.62569	<12.0			Vis.	SPK		12.022		F 03/01		0		V				GW LIB	AFOEV	STD				
2454202.9938	13.8			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.0	11.2			Vis.	CR	K        							V				GW LIB		STD				
2454203.0417	13.7			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.066	13.4			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.0785	13.0			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.0951	12.9			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.09689	13.089	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.09773	13.057	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.09857	13.042	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.09941	13.03	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10024	13.014	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10110	12.987	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10193	12.965	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10277	12.938	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10362	12.891	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10446	12.893	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10531	12.846	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10614	12.817	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.1069	12.4			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.10694	12.794	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10775	12.766	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.10937	12.744	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11019	12.709	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11103	12.69	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11187	12.669	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11272	12.662	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11356	12.642	0.01	0.0096	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11589	12.589	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11672	12.573	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11757	12.564	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.11840	12.551	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.1194	12.3			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.12085	12.501	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12170	12.509	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12254	12.507	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12339	12.485	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12424	12.471	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12511	12.464	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12594	12.451	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12679	12.425	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12763	12.419	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.12847	12.392	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.1285	12.1			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.12931	12.385	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13012	12.378	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13094	12.355	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13176	12.335	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13259	12.345	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13341	12.328	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13423	12.31	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13505	12.308	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13588	12.301	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13670	12.298	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13752	12.267	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13835	12.255	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13917	12.256	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.13998	12.239	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.14080	12.218	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.14163	12.234	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.14246	12.214	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.14329	12.189	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.14411	12.184	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.14494	12.17	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.14577	12.169	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
2454203.1458	12.0			Vis.	SRX	K	NA		NA				Z				GW LIB		STD				
2454203.14660	12.145	0.01	0.0141	V	NLX		12.022		03/01		0		V				GW LIB		STD				
