Nt =   3863
LC of   212593538
    2384.458194            NaN            NaN
    2384.478627    3413.526201    3387.350590
    2384.499061    3414.612077    3388.170462
    2384.519494    3416.178527    3390.223190
    2384.539928    3405.016250    3378.519393
    2384.560362    3415.746669    3389.933531
    2384.580795    3409.060739    3384.248891
    2384.601229    3406.620672    3382.611831
    2384.621663    3409.670475    3386.500309
    2384.642096    3426.844191    3403.225071
    2384.662530    3421.444049    3399.452768
    2384.682963    3421.172392    3399.252342
    2384.703397    3411.986951    3390.380771
    2384.723831    3419.550408    3398.418314
    2384.744264    3406.826965    3385.424762
    2384.764698    3413.389815    3392.883289
    2384.785131    3410.978053    3390.707001
    2384.805565    3413.818855    3393.101222
    2384.825998    3405.178422    3385.246800
    2384.846432    3421.399751    3400.974705
    2384.866866    3412.144880    3391.116290
    2384.887299            NaN            NaN
    2384.907733    3422.769270    3398.433824
    2384.928167            NaN            NaN
    2384.948600    3416.287528    3393.439235
    2384.969034    3415.874685    3393.418554
    2384.989467    3420.434618    3398.171463
    2385.009901    3420.979105    3399.465176
    2385.030335    3430.724528    3408.759832
    2385.050768    3432.927860    3411.512132
    2385.071202    3435.726885    3413.668516
    2385.091635    3423.892814    3402.389125
    2385.112069    3415.511351    3392.491937
    2385.132503    3417.024075    3394.637116
    2385.152936    3424.475368    3401.992933
    2385.173370    3414.656419    3391.889076
    2385.193803    3417.670580    3395.125878
    2385.214237    3418.062322    3395.703055
    2385.234671    3414.464511    3392.114920
    2385.255104    3427.473722    3405.708823
    2385.275538    3417.499043    3396.388713
    2385.295971    3429.761666    3407.566849
    2385.316405    3415.261418    3394.168322
    2385.336839    3422.631252    3400.475055
    2385.357272    3420.946990    3399.294090
    2385.377706    3419.008128    3396.087422
    2385.398140    3423.751809    3401.763128
    2385.418573    3417.941554    3394.447203
    2385.439007            NaN            NaN
    2385.459440    3420.271445    3395.083050
    2385.479874    3419.824861    3395.400501
    2385.500307    3422.863347    3401.119483
    2385.520741    3414.899583    3391.753956
